Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2026-06-10T22:00:01.769;599628001769230700;26;34;1004
2026-06-10T22:00:01.807;599628001807692300;35;46;1002
2026-06-10T22:00:01.846;599628001846153900;26;39;1005
2026-06-10T22:00:01.884;599628001884615400;33;38;1003
2026-06-10T22:00:01.923;599628001923076900;33;43;1006
2026-06-10T22:00:01.961;599628001961538400;30;44;1000
2026-06-10T22:00:02.000;599628002000000000;31;38;1000
2026-06-10T22:00:02.038;599628002038461600;33;35;996
2026-06-10T22:00:02.076;599628002076923000;34;44;1000
2026-06-10T22:00:02.115;599628002115384600;29;38;1000
2026-06-10T22:00:02.153;599628002153846100;27;38;995
2026-06-10T22:00:02.192;599628002192307700;34;39;998
2026-06-10T22:00:02.230;599628002230769200;31;39;991
2026-06-10T22:00:02.269;599628002269230700;30;38;995
2026-06-10T22:00:02.307;599628002307692300;31;46;993
2026-06-10T22:00:02.346;599628002346153900;30;39;991
2026-06-10T22:00:02.384;599628002384615300;35;41;989
2026-06-10T22:00:02.423;599628002423076900;26;42;985
2026-06-10T22:00:02.461;599628002461538400;31;44;984
2026-06-10T22:00:02.500;599628002500000000;28;35;986
2026-06-10T22:00:02.538;599628002538461600;33;46;982
2026-06-10T22:00:02.576;599628002576923000;27;35;985
2026-06-10T22:00:02.615;599628002615384600;35;43;985
2026-06-10T22:00:02.653;599628002653846100;36;37;986
2026-06-10T22:00:02.692;599628002692307700;27;40;979
2026-06-10T22:00:02.730;599628002730769200;33;43;981
2026-06-10T22:00:02.769;599628002769230700;33;41;980
2026-06-10T22:00:02.807;599628002807692300;27;44;979
2026-06-10T22:00:02.846;599628002846153900;26;43;978
2026-06-10T22:00:02.884;599628002884615300;31;41;982
2026-06-10T22:00:02.923;599628002923076900;35;36;974
2026-06-10T22:00:02.961;599628002961538400;27;40;977
2026-06-10T22:00:03.000;599628003000000000;35;44;978
2026-06-10T22:00:03.038;599628003038461400;35;37;978
2026-06-10T22:00:03.076;599628003076923000;35;42;981
2026-06-10T22:00:03.115;599628003115384600;28;45;983
2026-06-10T22:00:03.153;599628003153846100;34;34;975
2026-06-10T22:00:03.192;599628003192307700;33;35;975
2026-06-10T22:00:03.230;599628003230769200;35;37;980
2026-06-10T22:00:03.269;599628003269230700;27;44;982
2026-06-10T22:00:03.307;599628003307692300;25;39;985
2026-06-10T22:00:03.346;599628003346153900;25;35;980
2026-06-10T22:00:03.384;599628003384615300;33;42;980
2026-06-10T22:00:03.423;599628003423076900;30;35;983
2026-06-10T22:00:03.461;599628003461538400;29;41;980
2026-06-10T22:00:03.500;599628003500000000;33;38;986
2026-06-10T22:00:03.538;599628003538461400;34;34;982
2026-06-10T22:00:03.576;599628003576923000;33;45;984
2026-06-10T22:00:03.615;599628003615384600;34;42;986
2026-06-10T22:00:03.653;599628003653846100;25;35;994
2026-06-10T22:00:03.692;599628003692307700;32;37;990
2026-06-10T22:00:03.730;599628003730769200;25;40;990
2026-06-10T22:00:03.769;599628003769230700;33;36;995
2026-06-10T22:00:03.807;599628003807692300;26;37;991
2026-06-10T22:00:03.846;599628003846153900;35;34;990
2026-06-10T22:00:03.884;599628003884615300;35;45;996
2026-06-10T22:00:03.923;599628003923076900;31;42;994
2026-06-10T22:00:03.961;599628003961538400;30;35;1000
2026-06-10T22:00:04.000;599628004000000000;33;44;996
2026-06-10T22:00:04.038;599628004038461400;31;38;997
2026-06-10T22:00:04.076;599628004076923000;35;37;999
2026-06-10T22:00:04.115;599628004115384600;27;38;1007
2026-06-10T22:00:04.153;599628004153846100;34;44;1008
2026-06-10T22:00:04.192;599628004192307600;32;44;1008
2026-06-10T22:00:04.230;599628004230769200;32;42;1006
2026-06-10T22:00:04.269;599628004269230700;29;42;1007
2026-06-10T22:00:04.307;599628004307692300;27;40;1011
2026-06-10T22:00:04.346;599628004346153900;32;39;1013
2026-06-10T22:00:04.384;599628004384615300;27;43;1013
2026-06-10T22:00:04.423;599628004423076900;29;39;1017
2026-06-10T22:00:04.461;599628004461538400;25;41;1015
2026-06-10T22:00:04.500;599628004500000000;32;42;1011
2026-06-10T22:00:04.538;599628004538461400;29;45;1019
2026-06-10T22:00:04.576;599628004576923000;30;42;1015
2026-06-10T22:00:04.615;599628004615384600;36;35;1021
2026-06-10T22:00:04.653;599628004653846100;29;37;1019
2026-06-10T22:00:04.692;599628004692307600;27;44;1024
2026-06-10T22:00:04.730;599628004730769200;30;45;1017
2026-06-10T22:00:04.769;599628004769230700;30;36;1016
2026-06-10T22:00:04.807;599628004807692300;32;43;1018
2026-06-10T22:00:04.846;599628004846153700;24;40;1023
2026-06-10T22:00:04.884;599628004884615300;28;40;1026
2026-06-10T22:00:04.923;599628004923076900;28;41;1024
2026-06-10T22:00:04.961;599628004961538400;28;35;1023
2026-06-10T22:00:05.000;599628005000000000;25;41;1022
2026-06-10T22:00:05.038;599628005038461400;32;44;1024
2026-06-10T22:00:05.076;599628005076923000;31;43;1022
2026-06-10T22:00:05.115;599628005115384600;33;41;1023
2026-06-10T22:00:05.153;599628005153846100;31;42;1024
2026-06-10T22:00:05.192;599628005192307600;33;45;1025
2026-06-10T22:00:05.230;599628005230769200;32;42;1017
2026-06-10T22:00:05.269;599628005269230700;27;46;1017
2026-06-10T22:00:05.307;599628005307692300;35;34;1022
2026-06-10T22:00:05.346;599628005346153700;30;44;1017
2026-06-10T22:00:05.384;599628005384615300;26;38;1020
2026-06-10T22:00:05.423;599628005423076900;32;38;1013
2026-06-10T22:00:05.461;599628005461538400;28;45;1012
2026-06-10T22:00:05.500;599628005499999900;26;37;1018
2026-06-10T22:00:05.538;599628005538461400;24;43;1010
2026-06-10T22:00:05.576;599628005576923000;36;40;1018
2026-06-10T22:00:05.615;599628005615384600;31;39;1015
2026-06-10T22:00:05.653;599628005653846100;27;38;1013
2026-06-10T22:00:05.692;599628005692307600;33;40;1013
2026-06-10T22:00:05.730;599628005730769200;29;41;1006
2026-06-10T22:00:05.769;599628005769230700;25;39;1005
2026-06-10T22:00:05.807;599628005807692300;33;36;1005
2026-06-10T22:00:05.846;599628005846153700;25;38;1010
2026-06-10T22:00:05.884;599628005884615300;35;41;1006
2026-06-10T22:00:05.923;599628005923076900;34;34;1000
2026-06-10T22:00:05.961;599628005961538400;26;39;1001
2026-06-10T22:00:06.000;599628005999999900;26;39;999
2026-06-10T22:00:06.038;599628006038461400;24;34;1000
2026-06-10T22:00:06.076;599628006076923000;29;38;993
2026-06-10T22:00:06.115;599628006115384600;29;43;1000
2026-06-10T22:00:06.153;599628006153846000;30;43;1000
2026-06-10T22:00:06.192;599628006192307600;36;38;997
2026-06-10T22:00:06.230;599628006230769200;34;44;997
2026-06-10T22:00:06.269;599628006269230700;32;42;989
2026-06-10T22:00:06.307;599628006307692300;28;44;988
2026-06-10T22:00:06.346;599628006346153700;33;35;989
2026-06-10T22:00:06.384;599628006384615300;31;37;987
2026-06-10T22:00:06.423;599628006423076900;32;45;984
2026-06-10T22:00:06.461;599628006461538400;24;41;985
2026-06-10T22:00:06.500;599628006499999900;25;35;983
2026-06-10T22:00:06.538;599628006538461400;26;42;986
2026-06-10T22:00:06.576;599628006576923000;34;43;985
2026-06-10T22:00:06.615;599628006615384600;30;45;986
2026-06-10T22:00:06.653;599628006653846000;30;45;985
2026-06-10T22:00:06.692;599628006692307600;28;45;983
2026-06-10T22:00:06.730;599628006730769200;30;39;978
2026-06-10T22:00:06.769;599628006769230700;30;46;982
2026-06-10T22:00:06.807;599628006807692300;28;43;981
2026-06-10T22:00:06.846;599628006846153700;32;43;980
2026-06-10T22:00:06.884;599628006884615300;34;35;981
2026-06-10T22:00:06.923;599628006923076900;35;36;977
2026-06-10T22:00:06.961;599628006961538400;33;43;978
2026-06-10T22:00:07.000;599628006999999900;29;45;983
2026-06-10T22:00:07.038;599628007038461400;26;42;975
2026-06-10T22:00:07.076;599628007076923000;31;40;979
2026-06-10T22:00:07.115;599628007115384600;29;42;979
2026-06-10T22:00:07.153;599628007153846000;34;35;976
2026-06-10T22:00:07.192;599628007192307600;34;35;982
2026-06-10T22:00:07.230;599628007230769200;28;42;978
2026-06-10T22:00:07.269;599628007269230700;34;37;976
2026-06-10T22:00:07.307;599628007307692200;30;41;977
2026-06-10T22:00:07.346;599628007346153700;36;35;982
2026-06-10T22:00:07.384;599628007384615300;30;36;985
2026-06-10T22:00:07.423;599628007423076900;35;42;978
2026-06-10T22:00:07.461;599628007461538400;26;41;981
2026-06-10T22:00:07.500;599628007499999900;28;39;981
2026-06-10T22:00:07.538;599628007538461400;25;40;987
2026-06-10T22:00:07.576;599628007576923000;35;42;988
2026-06-10T22:00:07.615;599628007615384600;30;38;983
2026-06-10T22:00:07.653;599628007653846000;28;41;990
2026-06-10T22:00:07.692;599628007692307600;35;35;987
2026-06-10T22:00:07.730;599628007730769200;25;40;993
2026-06-10T22:00:07.769;599628007769230700;35;35;995
2026-06-10T22:00:07.807;599628007807692200;35;39;997
2026-06-10T22:00:07.846;599628007846153700;34;40;990
2026-06-10T22:00:07.884;599628007884615300;27;44;992
2026-06-10T22:00:07.923;599628007923076900;28;43;999
2026-06-10T22:00:07.961;599628007961538300;29;40;1001
2026-06-10T22:00:08.000;599628007999999900;32;42;998
2026-06-10T22:00:08.038;599628008038461400;26;45;1005
2026-06-10T22:00:08.076;599628008076923000;28;40;1004
2026-06-10T22:00:08.115;599628008115384600;34;35;1000
2026-06-10T22:00:08.153;599628008153846000;27;45;1009
2026-06-10T22:00:08.192;599628008192307600;36;43;1006
2026-06-10T22:00:08.230;599628008230769200;28;38;1004
2026-06-10T22:00:08.269;599628008269230700;30;36;1005
2026-06-10T22:00:08.307;599628008307692200;28;40;1008
2026-06-10T22:00:08.346;599628008346153700;32;45;1016
2026-06-10T22:00:08.384;599628008384615300;25;45;1016
2026-06-10T22:00:08.423;599628008423076900;33;44;1013
2026-06-10T22:00:08.461;599628008461538300;33;45;1018
2026-06-10T22:00:08.500;599628008499999900;28;36;1015
2026-06-10T22:00:08.538;599628008538461400;25;34;1019
2026-06-10T22:00:08.576;599628008576923000;25;37;1017
2026-06-10T22:00:08.615;599628008615384600;27;45;1020
2026-06-10T22:00:08.653;599628008653846000;28;46;1017
2026-06-10T22:00:08.692;599628008692307600;27;41;1019
2026-06-10T22:00:08.730;599628008730769200;35;44;1016
2026-06-10T22:00:08.769;599628008769230700;34;45;1024
2026-06-10T22:00:08.807;599628008807692200;24;40;1018
2026-06-10T22:00:08.846;599628008846153700;30;35;1018
2026-06-10T22:00:08.884;599628008884615300;34;36;1018
2026-06-10T22:00:08.923;599628008923076900;31;45;1021
2026-06-10T22:00:08.961;599628008961538300;35;45;1020
2026-06-10T22:00:09.000;599628008999999900;24;34;1022
2026-06-10T22:00:09.038;599628009038461400;35;44;1022
2026-06-10T22:00:09.076;599628009076923000;30;43;1025
2026-06-10T22:00:09.115;599628009115384400;29;35;1023
2026-06-10T22:00:09.153;599628009153846000;26;36;1021
2026-06-10T22:00:09.192;599628009192307600;31;34;1019
2026-06-10T22:00:09.230;599628009230769200;36;41;1023
2026-06-10T22:00:09.269;599628009269230700;35;42;1019
2026-06-10T22:00:09.307;599628009307692200;34;40;1022
2026-06-10T22:00:09.346;599628009346153700;29;35;1022
2026-06-10T22:00:09.384;599628009384615300;26;36;1015
2026-06-10T22:00:09.423;599628009423076900;27;44;1013
2026-06-10T22:00:09.461;599628009461538300;30;38;1017
2026-06-10T22:00:09.500;599628009499999900;25;35;1011
2026-06-10T22:00:09.538;599628009538461400;33;37;1012
2026-06-10T22:00:09.576;599628009576923000;32;41;1011
2026-06-10T22:00:09.615;599628009615384400;30;39;1009
2026-06-10T22:00:09.653;599628009653846000;35;38;1014
2026-06-10T22:00:09.692;599628009692307600;30;42;1014
2026-06-10T22:00:09.730;599628009730769200;34;38;1012
2026-06-10T22:00:09.769;599628009769230600;31;42;1013
2026-06-10T22:00:09.807;599628009807692200;34;42;1005
2026-06-10T22:00:09.846;599628009846153700;24;44;1009
2026-06-10T22:00:09.884;599628009884615300;34;37;1005
2026-06-10T22:00:09.923;599628009923076900;30;37;1001
2026-06-10T22:00:09.961;599628009961538300;29;45;1006
2026-06-10T22:00:10.000;599628009999999900;31;43;999
2026-06-10T22:00:10.038;599628010038461400;31;35;995
2026-06-10T22:00:10.076;599628010076923000;32;38;998
2026-06-10T22:00:10.115;599628010115384400;33;36;998
2026-06-10T22:00:10.153;599628010153846000;24;46;995
2026-06-10T22:00:10.192;599628010192307600;29;41;996
2026-06-10T22:00:10.230;599628010230769200;29;42;992
2026-06-10T22:00:10.269;599628010269230600;26;38;990
2026-06-10T22:00:10.307;599628010307692200;25;36;991
2026-06-10T22:00:10.346;599628010346153700;32;38;985
2026-06-10T22:00:10.384;599628010384615300;33;45;984
2026-06-10T22:00:10.423;599628010423076700;31;36;989
2026-06-10T22:00:10.461;599628010461538300;26;44;984
2026-06-10T22:00:10.500;599628010499999900;36;40;985
2026-06-10T22:00:10.538;599628010538461400;28;40;985
2026-06-10T22:00:10.576;599628010576923000;31;45;979
2026-06-10T22:00:10.615;599628010615384400;26;38;978
2026-06-10T22:00:10.653;599628010653846000;25;39;976
2026-06-10T22:00:10.692;599628010692307600;31;45;982
2026-06-10T22:00:10.730;599628010730769200;36;35;981
2026-06-10T22:00:10.769;599628010769230600;27;45;982
2026-06-10T22:00:10.807;599628010807692200;25;36;984
2026-06-10T22:00:10.846;599628010846153700;33;43;982
2026-06-10T22:00:10.884;599628010884615300;29;45;980
2026-06-10T22:00:10.923;599628010923076700;29;41;981
2026-06-10T22:00:10.961;599628010961538300;32;35;983
2026-06-10T22:00:11.000;599628010999999900;34;45;976
2026-06-10T22:00:11.038;599628011038461400;32;45;978
2026-06-10T22:00:11.076;599628011076922900;30;39;978
2026-06-10T22:00:11.115;599628011115384400;31;38;979
2026-06-10T22:00:11.153;599628011153846000;35;36;979
2026-06-10T22:00:11.192;599628011192307600;25;38;979
2026-06-10T22:00:11.230;599628011230769200;31;46;982
2026-06-10T22:00:11.269;599628011269230600;33;42;979
2026-06-10T22:00:11.307;599628011307692200;33;45;980
2026-06-10T22:00:11.346;599628011346153700;26;37;985
2026-06-10T22:00:11.384;599628011384615300;31;43;986
2026-06-10T22:00:11.423;599628011423076700;30;38;982
2026-06-10T22:00:11.461;599628011461538300;31;34;983
2026-06-10T22:00:11.500;599628011499999900;31;36;982
2026-06-10T22:00:11.538;599628011538461400;31;35;986
2026-06-10T22:00:11.576;599628011576922900;31;36;983
2026-06-10T22:00:11.615;599628011615384400;31;43;985
2026-06-10T22:00:11.653;599628011653846000;29;43;985
2026-06-10T22:00:11.692;599628011692307600;28;37;992
2026-06-10T22:00:11.730;599628011730769200;35;40;991
2026-06-10T22:00:11.769;599628011769230600;26;41;995
2026-06-10T22:00:11.807;599628011807692200;28;45;994
2026-06-10T22:00:11.846;599628011846153700;27;41;999
2026-06-10T22:00:11.884;599628011884615300;35;46;999
2026-06-10T22:00:11.923;599628011923076700;25;39;1000
2026-06-10T22:00:11.961;599628011961538300;34;37;994
2026-06-10T22:00:12.000;599628011999999900;34;37;997
2026-06-10T22:00:12.038;599628012038461400;30;36;1005
2026-06-10T22:00:12.076;599628012076922900;28;41;1006
2026-06-10T22:00:12.115;599628012115384400;32;43;1001
2026-06-10T22:00:12.153;599628012153846000;29;44;1009
2026-06-10T22:00:12.192;599628012192307600;28;38;1008
2026-06-10T22:00:12.230;599628012230769000;25;41;1012
2026-06-10T22:00:12.269;599628012269230600;28;41;1006
2026-06-10T22:00:12.307;599628012307692200;33;37;1007
2026-06-10T22:00:12.346;599628012346153700;26;38;1013
2026-06-10T22:00:12.384;599628012384615300;30;40;1010
2026-06-10T22:00:12.423;599628012423076700;33;44;1013
2026-06-10T22:00:12.461;599628012461538300;26;38;1015
2026-06-10T22:00:12.500;599628012499999900;33;35;1016
2026-06-10T22:00:12.538;599628012538461400;36;40;1017
2026-06-10T22:00:12.576;599628012576922900;35;41;1021
2026-06-10T22:00:12.615;599628012615384400;33;35;1013
2026-06-10T22:00:12.653;599628012653846000;35;42;1017
2026-06-10T22:00:12.692;599628012692307600;36;36;1024
2026-06-10T22:00:12.730;599628012730769000;35;45;1017
2026-06-10T22:00:12.769;599628012769230600;25;39;1023
2026-06-10T22:00:12.807;599628012807692200;30;41;1021
2026-06-10T22:00:12.846;599628012846153700;30;42;1024
2026-06-10T22:00:12.884;599628012884615200;33;43;1022
2026-06-10T22:00:12.923;599628012923076700;29;38;1027
2026-06-10T22:00:12.961;599628012961538300;30;35;1025
2026-06-10T22:00:13.000;599628012999999900;36;37;1021
2026-06-10T22:00:13.038;599628013038461400;25;40;1022
2026-06-10T22:00:13.076;599628013076922900;26;42;1021
2026-06-10T22:00:13.115;599628013115384400;36;39;1023
2026-06-10T22:00:13.153;599628013153846000;35;35;1021
2026-06-10T22:00:13.192;599628013192307600;28;35;1025
2026-06-10T22:00:13.230;599628013230769000;25;42;1017
2026-06-10T22:00:13.269;599628013269230600;31;35;1025
2026-06-10T22:00:13.307;599628013307692200;29;36;1018
2026-06-10T22:00:13.346;599628013346153700;31;37;1016
2026-06-10T22:00:13.384;599628013384615200;24;35;1021
2026-06-10T22:00:13.423;599628013423076700;34;38;1021
2026-06-10T22:00:13.461;599628013461538300;35;43;1014
2026-06-10T22:00:13.500;599628013499999900;32;34;1011
2026-06-10T22:00:13.538;599628013538461400;30;37;1012
2026-06-10T22:00:13.576;599628013576922900;27;43;1011
2026-06-10T22:00:13.615;599628013615384400;33;36;1014
2026-06-10T22:00:13.653;599628013653846000;28;43;1012
2026-06-10T22:00:13.692;599628013692307600;34;37;1010
2026-06-10T22:00:13.730;599628013730769000;29;36;1013
2026-06-10T22:00:13.769;599628013769230600;32;43;1008
2026-06-10T22:00:13.807;599628013807692200;24;46;1009
2026-06-10T22:00:13.846;599628013846153700;28;42;1008
2026-06-10T22:00:13.884;599628013884615200;28;37;1001
2026-06-10T22:00:13.923;599628013923076700;30;45;1007
2026-06-10T22:00:13.961;599628013961538300;27;41;1002
2026-06-10T22:00:14.000;599628013999999900;29;38;998
2026-06-10T22:00:14.038;599628014038461300;34;41;1003
2026-06-10T22:00:14.076;599628014076922900;33;40;998
2026-06-10T22:00:14.115;599628014115384400;26;43;999
2026-06-10T22:00:14.153;599628014153846000;36;43;997
2026-06-10T22:00:14.192;599628014192307600;31;36;998
2026-06-10T22:00:14.230;599628014230769000;31;40;995
2026-06-10T22:00:14.269;599628014269230600;26;36;989
2026-06-10T22:00:14.307;599628014307692200;27;41;992
2026-06-10T22:00:14.346;599628014346153700;32;42;988
2026-06-10T22:00:14.384;599628014384615200;29;34;985
2026-06-10T22:00:14.423;599628014423076700;26;34;983
2026-06-10T22:00:14.461;599628014461538300;31;36;982
2026-06-10T22:00:14.500;599628014499999900;30;41;985
2026-06-10T22:00:14.538;599628014538461300;27;37;980
2026-06-10T22:00:14.576;599628014576922900;34;38;981
2026-06-10T22:00:14.615;599628014615384400;24;39;981
2026-06-10T22:00:14.653;599628014653846000;34;45;985
2026-06-10T22:00:14.692;599628014692307500;30;41;980
2026-06-10T22:00:14.730;599628014730769000;33;37;979
2026-06-10T22:00:14.769;599628014769230600;31;35;982
2026-06-10T22:00:14.807;599628014807692200;31;42;976
2026-06-10T22:00:14.846;599628014846153700;24;37;978
2026-06-10T22:00:14.884;599628014884615200;26;44;979
2026-06-10T22:00:14.923;599628014923076700;27;35;974
2026-06-10T22:00:14.961;599628014961538300;26;35;980
2026-06-10T22:00:15.000;599628014999999900;33;45;974
2026-06-10T22:00:15.038;599628015038461300;25;39;974
2026-06-10T22:00:15.076;599628015076922900;33;39;978
2026-06-10T22:00:15.115;599628015115384400;33;36;977
2026-06-10T22:00:15.153;599628015153846000;30;37;981
2026-06-10T22:00:15.192;599628015192307500;29;43;980
2026-06-10T22:00:15.230;599628015230769000;29;34;977
2026-06-10T22:00:15.269;599628015269230600;33;40;980
2026-06-10T22:00:15.307;599628015307692200;33;42;977
2026-06-10T22:00:15.346;599628015346153600;31;43;978
2026-06-10T22:00:15.384;599628015384615200;32;36;982
2026-06-10T22:00:15.423;599628015423076700;35;43;979
2026-06-10T22:00:15.461;599628015461538300;32;38;986
2026-06-10T22:00:15.500;599628015499999900;32;39;986
2026-06-10T22:00:15.538;599628015538461300;25;39;984
2026-06-10T22:00:15.576;599628015576922900;26;40;983
2026-06-10T22:00:15.615;599628015615384400;24;45;991
2026-06-10T22:00:15.653;599628015653846000;26;43;991
2026-06-10T22:00:15.692;599628015692307500;26;37;990
2026-06-10T22:00:15.730;599628015730769000;28;45;995
2026-06-10T22:00:15.769;599628015769230600;25;39;991
2026-06-10T22:00:15.807;599628015807692200;27;43;990
2026-06-10T22:00:15.846;599628015846153600;30;45;990
2026-06-10T22:00:15.884;599628015884615200;26;40;995
2026-06-10T22:00:15.923;599628015923076700;28;43;997
2026-06-10T22:00:15.961;599628015961538300;27;44;995
2026-06-10T22:00:16.000;599628015999999700;28;37;997
2026-06-10T22:00:16.038;599628016038461300;33;37;1006
2026-06-10T22:00:16.076;599628016076922900;35;45;1002
2026-06-10T22:00:16.115;599628016115384400;27;42;1002
2026-06-10T22:00:16.153;599628016153846000;30;46;1001
2026-06-10T22:00:16.192;599628016192307500;31;45;1002
2026-06-10T22:00:16.230;599628016230769000;31;38;1004
2026-06-10T22:00:16.269;599628016269230600;31;44;1008
2026-06-10T22:00:16.307;599628016307692200;32;46;1010
2026-06-10T22:00:16.346;599628016346153600;25;43;1011
2026-06-10T22:00:16.384;599628016384615200;34;45;1010
2026-06-10T22:00:16.423;599628016423076700;35;41;1016
2026-06-10T22:00:16.461;599628016461538300;36;38;1010
2026-06-10T22:00:16.500;599628016499999700;32;43;1014
2026-06-10T22:00:16.538;599628016538461300;36;36;1012
2026-06-10T22:00:16.576;599628016576922900;25;36;1019
2026-06-10T22:00:16.615;599628016615384400;28;41;1015
2026-06-10T22:00:16.653;599628016653846000;33;44;1015
2026-06-10T22:00:16.692;599628016692307500;26;43;1019
2026-06-10T22:00:16.730;599628016730769000;31;36;1024
2026-06-10T22:00:16.769;599628016769230600;34;35;1023
2026-06-10T22:00:16.807;599628016807692200;33;34;1025
2026-06-10T22:00:16.846;599628016846153600;33;39;1017
2026-06-10T22:00:16.884;599628016884615200;27;37;1019
2026-06-10T22:00:16.923;599628016923076700;30;39;1022
2026-06-10T22:00:16.961;599628016961538300;31;38;1022
2026-06-10T22:00:17.000;599628016999999700;31;45;1020
2026-06-10T22:00:17.038;599628017038461300;33;45;1019
2026-06-10T22:00:17.076;599628017076922900;31;34;1026
2026-06-10T22:00:17.115;599628017115384400;29;34;1020
2026-06-10T22:00:17.153;599628017153845900;33;41;1025
2026-06-10T22:00:17.192;599628017192307500;26;36;1019
2026-06-10T22:00:17.230;599628017230769000;33;45;1020
2026-06-10T22:00:17.269;599628017269230600;35;40;1017
2026-06-10T22:00:17.307;599628017307692200;28;39;1020
2026-06-10T22:00:17.346;599628017346153600;30;41;1017
2026-06-10T22:00:17.384;599628017384615200;30;45;1021
2026-06-10T22:00:17.423;599628017423076700;27;34;1022
2026-06-10T22:00:17.461;599628017461538300;29;35;1017
2026-06-10T22:00:17.500;599628017499999700;34;37;1014
2026-06-10T22:00:17.538;599628017538461300;33;34;1019
2026-06-10T22:00:17.576;599628017576922900;25;37;1010
2026-06-10T22:00:17.615;599628017615384400;30;35;1014
2026-06-10T22:00:17.653;599628017653845900;25;36;1008
2026-06-10T22:00:17.692;599628017692307500;28;41;1011
2026-06-10T22:00:17.730;599628017730769000;36;37;1005
2026-06-10T22:00:17.769;599628017769230600;34;35;1004
2026-06-10T22:00:17.807;599628017807692000;31;40;1003
2026-06-10T22:00:17.846;599628017846153600;31;40;1009
2026-06-10T22:00:17.884;599628017884615200;32;41;1009
2026-06-10T22:00:17.923;599628017923076700;28;43;999
2026-06-10T22:00:17.961;599628017961538300;24;40;1004
2026-06-10T22:00:18.000;599628017999999700;31;39;995
2026-06-10T22:00:18.038;599628018038461300;32;35;996
2026-06-10T22:00:18.076;599628018076922900;33;46;995
2026-06-10T22:00:18.115;599628018115384400;30;43;997
2026-06-10T22:00:18.153;599628018153845900;31;42;992
2026-06-10T22:00:18.192;599628018192307500;29;39;994
2026-06-10T22:00:18.230;599628018230769000;30;39;987
2026-06-10T22:00:18.269;599628018269230600;30;36;990
2026-06-10T22:00:18.307;599628018307692000;31;42;992
2026-06-10T22:00:18.346;599628018346153600;27;42;988
2026-06-10T22:00:18.384;599628018384615200;27;40;991
2026-06-10T22:00:18.423;599628018423076700;26;37;983
2026-06-10T22:00:18.461;599628018461538300;25;42;983
2026-06-10T22:00:18.500;599628018499999700;34;37;988
2026-06-10T22:00:18.538;599628018538461300;36;36;982
2026-06-10T22:00:18.576;599628018576922900;31;35;987
2026-06-10T22:00:18.615;599628018615384400;35;36;983
2026-06-10T22:00:18.653;599628018653845900;29;43;983
2026-06-10T22:00:18.692;599628018692307500;30;41;979
