Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2026-06-21T06:05:24.609;835351534952390519;-498151;-507491;-515291;-650687;
2026-06-21T06:05:24.616;835351534959797926;-498092;-507432;-515232;-650687;
2026-06-21T06:05:24.624;835351534967205333;-498031;-507371;-515171;-650687;
2026-06-21T06:05:24.631;835351534974612741;-497969;-507309;-515109;-650687;
2026-06-21T06:05:24.639;835351534982020148;-497907;-507247;-515047;-650687;
2026-06-21T06:05:24.646;835351534989427556;-497844;-507184;-514984;-650687;
2026-06-21T06:05:24.653;835351534996834963;-497782;-507122;-514922;-650687;
2026-06-21T06:05:24.661;835351535004242370;-497722;-507062;-514862;-650687;
2026-06-21T06:05:24.668;835351535011649778;-497663;-507003;-514803;-650687;
2026-06-21T06:05:24.676;835351535019057185;-497608;-506948;-514748;-650687;
2026-06-21T06:05:24.683;835351535026464593;-497556;-506896;-514696;-650687;
2026-06-21T06:05:24.691;835351535033872000;-497509;-506849;-514649;-650687;
2026-06-21T06:05:24.698;835351535041279407;-497468;-506808;-514608;-650687;
2026-06-21T06:05:24.705;835351535048686815;-497432;-506772;-514572;-650687;
2026-06-21T06:05:24.713;835351535056094222;-497403;-506743;-514543;-650687;
2026-06-21T06:05:24.720;835351535063501630;-497382;-506722;-514522;-650687;
2026-06-21T06:05:24.728;835351535070909037;-497369;-506709;-514509;-650687;
2026-06-21T06:05:24.735;835351535078316444;-497365;-506705;-514505;-650687;
2026-06-21T06:05:24.742;835351535085723852;-497370;-506710;-514510;-650687;
2026-06-21T06:05:24.750;835351535093131259;-497386;-506726;-514526;-650687;
2026-06-21T06:05:24.757;835351535100538667;-497411;-506751;-514551;-650687;
2026-06-21T06:05:24.765;835351535107946074;-497447;-506787;-514587;-650687;
2026-06-21T06:05:24.772;835351535115353481;-497494;-506834;-514634;-650687;
2026-06-21T06:05:24.779;835351535122760889;-497552;-506892;-514692;-650687;
2026-06-21T06:05:24.787;835351535130168296;-497622;-506962;-514762;-650687;
2026-06-21T06:05:24.794;835351535137575704;-497703;-507043;-514843;-650687;
2026-06-21T06:05:24.802;835351535144983111;-497794;-507134;-514934;-650687;
2026-06-21T06:05:24.809;835351535152390519;-497897;-507237;-515037;-650687;
2026-06-21T06:05:24.816;835351535159797926;-498011;-507351;-515151;-650687;
2026-06-21T06:05:24.824;835351535167205333;-498135;-507475;-515275;-650687;
2026-06-21T06:05:24.831;835351535174612741;-498269;-507609;-515409;-650687;
2026-06-21T06:05:24.839;835351535182020148;-498413;-507753;-515553;-650687;
2026-06-21T06:05:24.846;835351535189427556;-498565;-507905;-515705;-650687;
2026-06-21T06:05:24.853;835351535196834963;-498726;-508066;-515866;-650687;
2026-06-21T06:05:24.861;835351535204242370;-498894;-508234;-516034;-650686;
2026-06-21T06:05:24.868;835351535211649778;-499069;-508409;-516209;-650686;
2026-06-21T06:05:24.876;835351535219057185;-499250;-508590;-516390;-650686;
2026-06-21T06:05:24.883;835351535226464593;-499435;-508775;-516575;-650686;
2026-06-21T06:05:24.891;835351535233872000;-499624;-508964;-516764;-650686;
2026-06-21T06:05:24.898;835351535241279407;-499816;-509156;-516956;-650686;
2026-06-21T06:05:24.905;835351535248686815;-500010;-509350;-517150;-650686;
2026-06-21T06:05:24.913;835351535256094222;-500204;-509544;-517344;-650686;
2026-06-21T06:05:24.920;835351535263501630;-500398;-509738;-517538;-650686;
2026-06-21T06:05:24.928;835351535270909037;-500590;-509930;-517730;-650686;
2026-06-21T06:05:24.935;835351535278316444;-500779;-510119;-517919;-650686;
2026-06-21T06:05:24.942;835351535285723852;-500965;-510305;-518105;-650686;
2026-06-21T06:05:24.950;835351535293131259;-501145;-510485;-518285;-650686;
2026-06-21T06:05:24.957;835351535300538667;-501320;-510660;-518460;-650686;
2026-06-21T06:05:24.965;835351535307946074;-501487;-510827;-518627;-650686;
2026-06-21T06:05:24.972;835351535315353481;-501646;-510986;-518786;-650686;
2026-06-21T06:05:24.979;835351535322760889;-501797;-511137;-518937;-650686;
2026-06-21T06:05:24.987;835351535330168296;-501937;-511277;-519077;-650686;
2026-06-21T06:05:24.994;835351535337575704;-502067;-511407;-519207;-650686;
2026-06-21T06:05:25.002;835351535344983111;-502186;-511526;-519326;-650686;
2026-06-21T06:05:25.009;835351535352390519;-502292;-511632;-519432;-650686;
2026-06-21T06:05:25.016;835351535359797926;-502386;-511726;-519526;-650686;
2026-06-21T06:05:25.024;835351535367205333;-502466;-511806;-519606;-650686;
2026-06-21T06:05:25.031;835351535374612741;-502533;-511873;-519673;-650686;
2026-06-21T06:05:25.039;835351535382020148;-502586;-511926;-519726;-650686;
2026-06-21T06:05:25.046;835351535389427556;-502625;-511965;-519765;-650686;
2026-06-21T06:05:25.053;835351535396834963;-502650;-511990;-519790;-650686;
2026-06-21T06:05:25.061;835351535404242370;-502660;-512000;-519800;-650686;
2026-06-21T06:05:25.068;835351535411649778;-502657;-511997;-519797;-650686;
2026-06-21T06:05:25.076;835351535419057185;-502639;-511979;-519779;-650686;
2026-06-21T06:05:25.083;835351535426464593;-502608;-511948;-519748;-650686;
2026-06-21T06:05:25.091;835351535433872000;-502564;-511904;-519704;-650686;
2026-06-21T06:05:25.098;835351535441279407;-502507;-511847;-519647;-650686;
2026-06-21T06:05:25.105;835351535448686815;-502438;-511778;-519578;-650686;
2026-06-21T06:05:25.113;835351535456094222;-502356;-511696;-519496;-650686;
2026-06-21T06:05:25.120;835351535463501630;-502264;-511604;-519404;-650686;
2026-06-21T06:05:25.128;835351535470909037;-502162;-511502;-519302;-650686;
2026-06-21T06:05:25.135;835351535478316444;-502051;-511391;-519191;-650685;
2026-06-21T06:05:25.142;835351535485723852;-501931;-511271;-519071;-650685;
2026-06-21T06:05:25.150;835351535493131259;-501803;-511143;-518943;-650685;
2026-06-21T06:05:25.157;835351535500538667;-501669;-511009;-518809;-650685;
2026-06-21T06:05:25.165;835351535507946074;-501529;-510869;-518669;-650685;
2026-06-21T06:05:25.172;835351535515353481;-501385;-510725;-518525;-650685;
2026-06-21T06:05:25.179;835351535522760889;-501237;-510577;-518377;-650685;
2026-06-21T06:05:25.187;835351535530168296;-501086;-510426;-518226;-650685;
2026-06-21T06:05:25.194;835351535537575704;-500934;-510274;-518074;-650685;
2026-06-21T06:05:25.202;835351535544983111;-500781;-510121;-517921;-650685;
2026-06-21T06:05:25.209;835351535552390519;-500629;-509969;-517769;-650685;
2026-06-21T06:05:25.216;835351535559797926;-500478;-509818;-517618;-650685;
2026-06-21T06:05:25.224;835351535567205333;-500329;-509669;-517469;-650685;
2026-06-21T06:05:25.231;835351535574612741;-500183;-509523;-517323;-650685;
2026-06-21T06:05:25.239;835351535582020148;-500041;-509381;-517181;-650685;
2026-06-21T06:05:25.246;835351535589427556;-499904;-509244;-517044;-650685;
2026-06-21T06:05:25.253;835351535596834963;-499772;-509112;-516912;-650685;
2026-06-21T06:05:25.261;835351535604242370;-499646;-508986;-516786;-650685;
2026-06-21T06:05:25.268;835351535611649778;-499526;-508866;-516666;-650685;
2026-06-21T06:05:25.276;835351535619057185;-499414;-508754;-516554;-650685;
2026-06-21T06:05:25.283;835351535626464593;-499308;-508648;-516448;-650685;
2026-06-21T06:05:25.291;835351535633872000;-499211;-508551;-516351;-650685;
2026-06-21T06:05:25.298;835351535641279407;-499121;-508461;-516261;-650685;
2026-06-21T06:05:25.305;835351535648686815;-499039;-508379;-516179;-650685;
2026-06-21T06:05:25.313;835351535656094222;-498964;-508304;-516104;-650685;
2026-06-21T06:05:25.320;835351535663501630;-498898;-508238;-516038;-650685;
2026-06-21T06:05:25.328;835351535670909037;-498840;-508180;-515980;-650685;
2026-06-21T06:05:25.335;835351535678316444;-498789;-508129;-515929;-650685;
2026-06-21T06:05:25.342;835351535685723852;-498745;-508085;-515885;-650685;
2026-06-21T06:05:25.350;835351535693131259;-498709;-508049;-515849;-650685;
2026-06-21T06:05:25.357;835351535700538667;-498679;-508019;-515819;-650685;
2026-06-21T06:05:25.365;835351535707946074;-498655;-507995;-515795;-650685;
2026-06-21T06:05:25.372;835351535715353481;-498636;-507976;-515776;-650685;
2026-06-21T06:05:25.379;835351535722760889;-498623;-507963;-515763;-650685;
2026-06-21T06:05:25.387;835351535730168296;-498614;-507954;-515754;-650685;
2026-06-21T06:05:25.394;835351535737575704;-498609;-507949;-515749;-650685;
2026-06-21T06:05:25.402;835351535744983111;-498607;-507947;-515747;-650685;
2026-06-21T06:05:25.409;835351535752390519;-498608;-507948;-515748;-650684;
2026-06-21T06:05:25.416;835351535759797926;-498611;-507951;-515751;-650684;
2026-06-21T06:05:25.424;835351535767205333;-498614;-507954;-515754;-650684;
2026-06-21T06:05:25.431;835351535774612741;-498618;-507958;-515758;-650684;
2026-06-21T06:05:25.439;835351535782020148;-498622;-507962;-515762;-650684;
2026-06-21T06:05:25.446;835351535789427556;-498625;-507965;-515765;-650684;
2026-06-21T06:05:25.453;835351535796834963;-498626;-507966;-515766;-650684;
2026-06-21T06:05:25.461;835351535804242370;-498626;-507966;-515766;-650684;
2026-06-21T06:05:25.468;835351535811649778;-498623;-507963;-515763;-650684;
2026-06-21T06:05:25.476;835351535819057185;-498617;-507957;-515757;-650684;
2026-06-21T06:05:25.483;835351535826464593;-498607;-507947;-515747;-650684;
2026-06-21T06:05:25.491;835351535833872000;-498594;-507934;-515734;-650684;
2026-06-21T06:05:25.498;835351535841279407;-498577;-507917;-515717;-650684;
2026-06-21T06:05:25.505;835351535848686815;-498555;-507895;-515695;-650684;
2026-06-21T06:05:25.513;835351535856094222;-498529;-507869;-515669;-650684;
2026-06-21T06:05:25.520;835351535863501630;-498499;-507839;-515639;-650684;
2026-06-21T06:05:25.528;835351535870909037;-498464;-507804;-515604;-650684;
2026-06-21T06:05:25.535;835351535878316444;-498424;-507764;-515564;-650684;
2026-06-21T06:05:25.542;835351535885723852;-498381;-507721;-515521;-650684;
2026-06-21T06:05:25.550;835351535893131259;-498333;-507673;-515473;-650684;
2026-06-21T06:05:25.557;835351535900538667;-498282;-507622;-515422;-650684;
2026-06-21T06:05:25.565;835351535907946074;-498228;-507568;-515368;-650684;
2026-06-21T06:05:25.572;835351535915353481;-498170;-507510;-515310;-650684;
2026-06-21T06:05:25.579;835351535922760889;-498111;-507451;-515251;-650684;
2026-06-21T06:05:25.587;835351535930168296;-498049;-507389;-515189;-650684;
2026-06-21T06:05:25.594;835351535937575704;-497986;-507326;-515126;-650684;
2026-06-21T06:05:25.602;835351535944983111;-497923;-507263;-515063;-650684;
2026-06-21T06:05:25.609;835351535952390519;-497860;-507200;-515000;-650684;
2026-06-21T06:05:25.616;835351535959797926;-497798;-507138;-514938;-650684;
2026-06-21T06:05:25.624;835351535967205333;-497738;-507078;-514878;-650684;
2026-06-21T06:05:25.631;835351535974612741;-497681;-507021;-514821;-650684;
2026-06-21T06:05:25.639;835351535982020148;-497626;-506966;-514766;-650684;
2026-06-21T06:05:25.646;835351535989427556;-497576;-506916;-514716;-650684;
2026-06-21T06:05:25.653;835351535996834963;-497531;-506871;-514671;-650684;
2026-06-21T06:05:25.661;835351536004242370;-497492;-506832;-514632;-650684;
2026-06-21T06:05:25.668;835351536011649778;-497459;-506799;-514599;-650684;
2026-06-21T06:05:25.676;835351536019057185;-497433;-506773;-514573;-650684;
2026-06-21T06:05:25.683;835351536026464593;-497416;-506756;-514556;-650684;
2026-06-21T06:05:25.691;835351536033872000;-497407;-506747;-514547;-650683;
2026-06-21T06:05:25.698;835351536041279407;-497407;-506747;-514547;-650683;
2026-06-21T06:05:25.705;835351536048686815;-497417;-506757;-514557;-650683;
2026-06-21T06:05:25.713;835351536056094222;-497437;-506777;-514577;-650683;
2026-06-21T06:05:25.720;835351536063501630;-497467;-506807;-514607;-650683;
2026-06-21T06:05:25.728;835351536070909037;-497509;-506849;-514649;-650683;
2026-06-21T06:05:25.735;835351536078316444;-497562;-506902;-514702;-650683;
2026-06-21T06:05:25.742;835351536085723852;-497626;-506966;-514766;-650683;
2026-06-21T06:05:25.750;835351536093131259;-497701;-507041;-514841;-650683;
2026-06-21T06:05:25.757;835351536100538667;-497788;-507128;-514928;-650683;
2026-06-21T06:05:25.765;835351536107946074;-497887;-507227;-515027;-650683;
2026-06-21T06:05:25.772;835351536115353481;-497996;-507336;-515136;-650683;
2026-06-21T06:05:25.779;835351536122760889;-498116;-507456;-515256;-650683;
2026-06-21T06:05:25.787;835351536130168296;-498246;-507586;-515386;-650683;
2026-06-21T06:05:25.794;835351536137575704;-498386;-507726;-515526;-650683;
2026-06-21T06:05:25.802;835351536144983111;-498536;-507876;-515676;-650683;
2026-06-21T06:05:25.809;835351536152390519;-498694;-508034;-515834;-650683;
2026-06-21T06:05:25.816;835351536159797926;-498860;-508200;-516000;-650683;
2026-06-21T06:05:25.824;835351536167205333;-499033;-508373;-516173;-650683;
2026-06-21T06:05:25.831;835351536174612741;-499212;-508552;-516352;-650683;
2026-06-21T06:05:25.839;835351536182020148;-499396;-508736;-516536;-650683;
2026-06-21T06:05:25.846;835351536189427556;-499585;-508925;-516725;-650683;
2026-06-21T06:05:25.853;835351536196834963;-499777;-509117;-516917;-650683;
2026-06-21T06:05:25.861;835351536204242370;-499972;-509312;-517112;-650683;
2026-06-21T06:05:25.868;835351536211649778;-500167;-509507;-517307;-650683;
2026-06-21T06:05:25.876;835351536219057185;-500362;-509702;-517502;-650683;
2026-06-21T06:05:25.883;835351536226464593;-500556;-509896;-517696;-650683;
2026-06-21T06:05:25.891;835351536233872000;-500748;-510088;-517888;-650683;
2026-06-21T06:05:25.898;835351536241279407;-500936;-510276;-518076;-650683;
2026-06-21T06:05:25.905;835351536248686815;-501120;-510460;-518260;-650683;
2026-06-21T06:05:25.913;835351536256094222;-501298;-510638;-518438;-650683;
2026-06-21T06:05:25.920;835351536263501630;-501469;-510809;-518609;-650683;
2026-06-21T06:05:25.928;835351536270909037;-501632;-510972;-518772;-650683;
2026-06-21T06:05:25.935;835351536278316444;-501787;-511127;-518927;-650683;
2026-06-21T06:05:25.942;835351536285723852;-501931;-511271;-519071;-650683;
2026-06-21T06:05:25.950;835351536293131259;-502066;-511406;-519206;-650683;
2026-06-21T06:05:25.957;835351536300538667;-502189;-511529;-519329;-650683;
2026-06-21T06:05:25.965;835351536307946074;-502299;-511639;-519439;-650683;
2026-06-21T06:05:25.972;835351536315353481;-502398;-511738;-519538;-650682;
2026-06-21T06:05:25.979;835351536322760889;-502483;-511823;-519623;-650682;
2026-06-21T06:05:25.987;835351536330168296;-502554;-511894;-519694;-650682;
2026-06-21T06:05:25.994;835351536337575704;-502612;-511952;-519752;-650682;
2026-06-21T06:05:26.002;835351536344983111;-502655;-511995;-519795;-650682;
2026-06-21T06:05:26.009;835351536352390519;-502684;-512024;-519824;-650682;
2026-06-21T06:05:26.016;835351536359797926;-502699;-512039;-519839;-650682;
2026-06-21T06:05:26.024;835351536367205333;-502699;-512039;-519839;-650682;
2026-06-21T06:05:26.031;835351536374612741;-502685;-512025;-519825;-650682;
2026-06-21T06:05:26.039;835351536382020148;-502657;-511997;-519797;-650682;
2026-06-21T06:05:26.046;835351536389427556;-502616;-511956;-519756;-650682;
2026-06-21T06:05:26.053;835351536396834963;-502562;-511902;-519702;-650682;
2026-06-21T06:05:26.061;835351536404242370;-502495;-511835;-519635;-650682;
2026-06-21T06:05:26.068;835351536411649778;-502416;-511756;-519556;-650682;
2026-06-21T06:05:26.076;835351536419057185;-502326;-511666;-519466;-650682;
2026-06-21T06:05:26.083;835351536426464593;-502225;-511565;-519365;-650682;
2026-06-21T06:05:26.091;835351536433872000;-502115;-511455;-519255;-650682;
2026-06-21T06:05:26.098;835351536441279407;-501996;-511336;-519136;-650682;
2026-06-21T06:05:26.105;835351536448686815;-501869;-511209;-519009;-650682;
2026-06-21T06:05:26.113;835351536456094222;-501735;-511075;-518875;-650682;
2026-06-21T06:05:26.120;835351536463501630;-501596;-510936;-518736;-650682;
2026-06-21T06:05:26.128;835351536470909037;-501451;-510791;-518591;-650682;
2026-06-21T06:05:26.135;835351536478316444;-501303;-510643;-518443;-650682;
2026-06-21T06:05:26.142;835351536485723852;-501152;-510492;-518292;-650682;
2026-06-21T06:05:26.150;835351536493131259;-500999;-510339;-518139;-650682;
2026-06-21T06:05:26.157;835351536500538667;-500845;-510185;-517985;-650682;
2026-06-21T06:05:26.165;835351536507946074;-500692;-510032;-517832;-650682;
2026-06-21T06:05:26.172;835351536515353481;-500539;-509879;-517679;-650682;
2026-06-21T06:05:26.179;835351536522760889;-500389;-509729;-517529;-650682;
2026-06-21T06:05:26.187;835351536530168296;-500242;-509582;-517382;-650682;
2026-06-21T06:05:26.194;835351536537575704;-500099;-509439;-517239;-650682;
2026-06-21T06:05:26.202;835351536544983111;-499960;-509300;-517100;-650682;
2026-06-21T06:05:26.209;835351536552390519;-499827;-509167;-516967;-650682;
2026-06-21T06:05:26.216;835351536559797926;-499699;-509039;-516839;-650682;
2026-06-21T06:05:26.224;835351536567205333;-499578;-508918;-516718;-650682;
2026-06-21T06:05:26.231;835351536574612741;-499464;-508804;-516604;-650682;
2026-06-21T06:05:26.239;835351536582020148;-499357;-508697;-516497;-650682;
2026-06-21T06:05:26.246;835351536589427556;-499258;-508598;-516398;-650681;
2026-06-21T06:05:26.253;835351536596834963;-499167;-508507;-516307;-650681;
2026-06-21T06:05:26.261;835351536604242370;-499084;-508424;-516224;-650681;
2026-06-21T06:05:26.268;835351536611649778;-499009;-508349;-516149;-650681;
2026-06-21T06:05:26.276;835351536619057185;-498941;-508281;-516081;-650681;
2026-06-21T06:05:26.283;835351536626464593;-498882;-508222;-516022;-650681;
2026-06-21T06:05:26.291;835351536633872000;-498831;-508171;-515971;-650681;
2026-06-21T06:05:26.298;835351536641279407;-498786;-508126;-515926;-650681;
2026-06-21T06:05:26.305;835351536648686815;-498749;-508089;-515889;-650681;
2026-06-21T06:05:26.313;835351536656094222;-498719;-508059;-515859;-650681;
2026-06-21T06:05:26.320;835351536663501630;-498695;-508035;-515835;-650681;
2026-06-21T06:05:26.328;835351536670909037;-498676;-508016;-515816;-650681;
2026-06-21T06:05:26.335;835351536678316444;-498663;-508003;-515803;-650681;
2026-06-21T06:05:26.342;835351536685723852;-498654;-507994;-515794;-650681;
2026-06-21T06:05:26.350;835351536693131259;-498649;-507989;-515789;-650681;
2026-06-21T06:05:26.357;835351536700538667;-498647;-507987;-515787;-650681;
2026-06-21T06:05:26.365;835351536707946074;-498647;-507987;-515787;-650681;
2026-06-21T06:05:26.372;835351536715353481;-498650;-507990;-515790;-650681;
2026-06-21T06:05:26.379;835351536722760889;-498653;-507993;-515793;-650681;
2026-06-21T06:05:26.387;835351536730168296;-498657;-507997;-515797;-650681;
2026-06-21T06:05:26.394;835351536737575704;-498661;-508001;-515801;-650681;
2026-06-21T06:05:26.402;835351536744983111;-498664;-508004;-515804;-650681;
2026-06-21T06:05:26.409;835351536752390519;-498665;-508005;-515805;-650681;
2026-06-21T06:05:26.416;835351536759797926;-498665;-508005;-515805;-650681;
2026-06-21T06:05:26.424;835351536767205333;-498661;-508001;-515801;-650681;
2026-06-21T06:05:26.431;835351536774612741;-498655;-507995;-515795;-650681;
2026-06-21T06:05:26.439;835351536782020148;-498645;-507985;-515785;-650681;
2026-06-21T06:05:26.446;835351536789427556;-498632;-507972;-515772;-650681;
2026-06-21T06:05:26.453;835351536796834963;-498614;-507954;-515754;-650681;
2026-06-21T06:05:26.461;835351536804242370;-498592;-507932;-515732;-650681;
2026-06-21T06:05:26.468;835351536811649778;-498565;-507905;-515705;-650681;
2026-06-21T06:05:26.476;835351536819057185;-498534;-507874;-515674;-650681;
2026-06-21T06:05:26.483;835351536826464593;-498499;-507839;-515639;-650681;
2026-06-21T06:05:26.491;835351536833872000;-498459;-507799;-515599;-650681;
2026-06-21T06:05:26.498;835351536841279407;-498414;-507754;-515554;-650681;
2026-06-21T06:05:26.505;835351536848686815;-498366;-507706;-515506;-650681;
2026-06-21T06:05:26.513;835351536856094222;-498314;-507654;-515454;-650681;
2026-06-21T06:05:26.520;835351536863501630;-498259;-507599;-515399;-650681;
2026-06-21T06:05:26.528;835351536870909037;-498201;-507541;-515341;-650681;
